time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
0.0265,0.0000,0.0000,0.0000,0.0055,0.7763
0.0485,0.0000,0.0000,-0.0001,0.0055,0.7763
0.0699,0.0000,0.0000,-0.0006,0.0221,0.7763
0.0912,0.0000,0.0000,-0.0016,0.0466,1.1533
0.1124,0.0000,0.0000,-0.0032,0.0765,1.4067
0.1336,0.0000,0.0000,-0.0055,0.1104,1.6037
0.1552,0.0000,0.0000,-0.0087,0.1439,1.5521
0.1761,0.0000,0.0000,-0.0126,0.1869,2.0513
0.1977,0.0000,0.0000,-0.0173,0.2168,1.3819
0.2192,0.0000,0.0000,-0.0228,0.2606,2.0436
0.2408,0.0000,0.0000,-0.0293,0.2992,1.7841
0.2624,0.0000,0.0000,-0.0367,0.3413,1.9492
0.2838,0.0000,0.0000,-0.0450,0.3874,2.1571
0.3049,0.0000,0.0000,-0.0541,0.4333,2.1777
0.3265,0.0000,0.0000,-0.0639,0.4551,1.0082
0.3476,0.0000,0.0000,-0.0741,0.4798,1.1645
0.3690,0.0000,0.0000,-0.0841,0.4712,-0.4025
0.3902,0.0000,0.0000,-0.0939,0.4595,-0.5487
0.4118,0.0000,0.0000,-0.1031,0.4267,-1.5180
0.4335,0.0000,0.0000,-0.1118,0.3992,-1.2672
0.4548,0.0000,0.0000,-0.1198,0.3762,-1.0839
0.4759,0.0000,0.0000,-0.1270,0.3395,-1.7355
0.4970,0.0000,0.0000,-0.1333,0.3017,-1.7857
0.5178,0.0000,0.0000,-0.1389,0.2663,-1.7046
0.5390,0.0000,0.0000,-0.1436,0.2221,-2.0908
0.5603,0.0000,0.0000,-0.1474,0.1792,-2.0124
0.5814,0.0000,0.0000,-0.1503,0.1396,-1.8743
0.6028,0.0000,0.0000,-0.1525,0.1007,-1.8210
0.6241,0.0000,0.0000,-0.1540,0.0707,-1.4081
0.6451,0.0000,0.0000,-0.1550,0.0502,-0.9766
0.6677,0.0000,0.0000,-0.1558,0.0326,-0.7790
0.6891,0.0004,0.0000,-0.1563,0.0320,-0.0249
0.7104,0.0027,0.0000,-0.1567,0.1048,3.4105
0.7320,0.0076,0.0000,-0.1569,0.2323,5.9285
0.7535,0.0163,0.0000,-0.1571,0.4015,7.8476
0.7748,0.0287,0.0000,-0.1572,0.5844,8.6065
0.7964,0.0436,0.0000,-0.1573,0.6898,4.8773
0.8181,0.0604,0.0000,-0.1574,0.7743,3.8904
0.8391,0.0786,0.0000,-0.1574,0.8642,4.2834
0.8603,0.0975,0.0000,-0.1574,0.8933,1.3755
0.8823,0.1170,0.0000,-0.1575,0.8828,-0.4753
0.9035,0.1371,0.0000,-0.1575,0.9530,3.3124
0.9245,0.1576,0.0000,-0.1575,0.9716,0.8879
0.9457,0.1780,0.0000,-0.1575,0.9661,-0.2629
0.9677,0.1985,0.0000,-0.1575,0.9324,-1.5292
0.9889,0.2194,0.0000,-0.1575,0.9852,2.4913
1.0104,0.2402,0.0000,-0.1575,0.9688,-0.7648
1.0318,0.2612,0.0000,-0.1575,0.9787,0.4653
1.0534,0.2821,0.0000,-0.1575,0.9702,-0.3933
1.0749,0.3032,0.0000,-0.1575,0.9776,0.3439
