time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
0.0245,0.0000,0.0000,0.0000,0.0147,1.8100
0.0462,0.0000,0.0000,-0.0003,0.0147,1.8100
0.0672,0.0000,0.0000,-0.0014,0.0526,1.8100
0.0883,0.0000,0.0000,-0.0033,0.0899,1.7618
0.1101,0.0000,0.0000,-0.0061,0.1278,1.7419
0.1316,0.0000,0.0000,-0.0099,0.1785,2.3578
0.1533,0.0000,0.0000,-0.0145,0.2125,1.5669
0.1747,0.0000,0.0000,-0.0202,0.2639,2.4054
0.1966,0.0000,0.0000,-0.0266,0.2921,1.2863
0.2185,0.0000,0.0000,-0.0341,0.3438,2.3638
0.2402,0.0000,0.0000,-0.0426,0.3896,2.1070
0.2621,0.0000,0.0000,-0.0520,0.4288,1.7929
0.2833,0.0000,0.0000,-0.0622,0.4833,2.5639
0.3050,0.0000,0.0000,-0.0732,0.5085,1.1662
0.3264,0.0000,0.0000,-0.0848,0.5401,1.4762
0.3478,0.0000,0.0000,-0.0958,0.5122,-1.3073
0.3696,0.0000,0.0000,-0.1059,0.4635,-2.2312
0.3908,0.0000,0.0000,-0.1151,0.4355,-1.3224
0.4120,0.0000,0.0000,-0.1233,0.3880,-2.2380
0.4336,0.0000,0.0000,-0.1307,0.3395,-2.2453
0.4550,0.0000,0.0000,-0.1372,0.3044,-1.6440
0.4767,0.0000,0.0000,-0.1428,0.2583,-2.1174
0.4981,0.0000,0.0000,-0.1475,0.2213,-1.7332
0.5193,0.0000,0.0000,-0.1512,0.1724,-2.2988
0.5408,0.0000,0.0000,-0.1541,0.1348,-1.7534
0.5627,0.0000,0.0000,-0.1560,0.0885,-2.1116
0.5836,0.0000,0.0000,-0.1571,0.0531,-1.6979
0.6051,0.0000,0.0000,-0.1574,0.0140,-1.8142
0.6266,0.0000,0.0000,-0.1575,0.0028,-0.5218
0.6481,0.0000,0.0000,-0.1575,0.0006,-0.1045
0.6713,0.0000,0.0000,-0.1575,0.0001,-0.0197
0.6922,0.0018,0.0000,-0.1575,0.0842,4.0225
0.7132,0.0079,0.0000,-0.1575,0.2900,9.7650
0.7350,0.0191,0.0000,-0.1575,0.5148,10.3107
0.7566,0.0360,0.0000,-0.1575,0.7835,12.4716
0.7782,0.0563,0.0000,-0.1575,0.9397,7.2153
0.7997,0.0774,0.0000,-0.1575,0.9818,1.9609
0.8209,0.0985,0.0000,-0.1575,0.9973,0.7320
0.8421,0.1194,0.0000,-0.1575,0.9817,-0.7363
0.8637,0.1403,0.0000,-0.1575,0.9684,-0.6162
0.8855,0.1614,0.0000,-0.1575,0.9724,0.1852
0.9068,0.1828,0.0000,-0.1575,0.9978,1.1855
0.9288,0.2039,0.0000,-0.1575,0.9628,-1.5928
0.9503,0.2253,0.0000,-0.1575,0.9952,1.5041
0.9717,0.2465,0.0000,-0.1575,0.9907,-0.2102
0.9932,0.2676,0.0000,-0.1575,0.9827,-0.3737
