time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
1.8054,0.0000,0.0000,0.0000,0.0149,1.6963
1.8269,0.0000,0.0000,-0.0003,0.0149,1.6963
1.8484,0.0000,0.0000,-0.0014,0.0514,1.6963
1.8699,0.0000,0.0000,-0.0033,0.0885,1.7319
1.8911,0.0000,0.0000,-0.0062,0.1347,2.1740
1.9127,0.0000,0.0000,-0.0100,0.1752,1.8826
1.9342,0.0000,0.0000,-0.0146,0.2172,1.9514
1.9558,0.0000,0.0000,-0.0202,0.2584,1.9097
1.9772,0.0000,0.0000,-0.0267,0.3022,2.0431
1.9984,0.0000,0.0000,-0.0341,0.3471,2.1155
2.0199,0.0000,0.0000,-0.0423,0.3855,1.7873
2.0411,0.0000,0.0000,-0.0515,0.4325,2.2171
2.0624,0.0000,0.0000,-0.0615,0.4686,1.6909
2.0841,0.0000,0.0000,-0.0724,0.5028,1.5823
2.1054,0.0000,0.0000,-0.0840,0.5453,1.9939
2.1265,0.0000,0.0000,-0.0950,0.5190,-1.2440
2.1474,0.0000,0.0000,-0.1050,0.4799,-1.8729
2.1688,0.0000,0.0000,-0.1140,0.4221,-2.6936
2.1900,0.0000,0.0000,-0.1224,0.3953,-1.2681
2.2115,0.0000,0.0000,-0.1298,0.3420,-2.4792
2.2331,0.0000,0.0000,-0.1364,0.3051,-1.7069
2.2550,0.0000,0.0000,-0.1422,0.2650,-1.8320
2.2761,0.0000,0.0000,-0.1470,0.2294,-1.6896
2.2978,0.0000,0.0000,-0.1508,0.1771,-2.4068
2.3191,0.0000,0.0000,-0.1538,0.1415,-1.6740
2.3403,0.0000,0.0000,-0.1558,0.0923,-2.3143
2.3614,0.0000,0.0000,-0.1570,0.0567,-1.6934
2.3830,0.0000,0.0000,-0.1574,0.0185,-1.7708
2.4046,0.0000,0.0000,-0.1575,0.0037,-0.6846
2.4259,0.0000,0.0000,-0.1575,0.0007,-0.1379
2.4486,0.0000,0.0000,-0.1575,0.0001,-0.0267
2.4701,0.0017,0.0000,-0.1575,0.0779,3.6099
2.4914,0.0080,0.0000,-0.1575,0.2977,10.3226
2.5128,0.0192,0.0000,-0.1575,0.5245,10.6354
2.5346,0.0359,0.0000,-0.1575,0.7656,11.0435
2.5559,0.0564,0.0000,-0.1575,0.9583,9.0234
2.5774,0.0774,0.0000,-0.1575,0.9797,1.0011
2.5988,0.0983,0.0000,-0.1575,0.9740,-0.2660
2.6204,0.1193,0.0000,-0.1575,0.9763,0.1057
2.6416,0.1406,0.0000,-0.1575,1.0009,1.1596
2.6633,0.1615,0.0000,-0.1575,0.9643,-1.6894
2.6847,0.1827,0.0000,-0.1575,0.9929,1.3372
2.7061,0.2037,0.0000,-0.1575,0.9826,-0.4831
2.7275,0.2248,0.0000,-0.1575,0.9845,0.0891
2.7491,0.2459,0.0000,-0.1575,0.9781,-0.2954
2.7701,0.2671,0.0000,-0.1575,1.0059,1.3219
2.7916,0.2879,0.0000,-0.1575,0.9676,-1.7824
2.8132,0.3089,0.0000,-0.1575,0.9759,0.3850
2.8342,0.3301,0.0000,-0.1575,1.0090,1.5759
2.8551,0.3509,0.0000,-0.1575,0.9942,-0.7066
2.8763,0.3715,0.0000,-0.1575,0.9695,-1.1649
2.8974,0.3922,0.0000,-0.1575,0.9809,0.5403
2.9187,0.4130,0.0000,-0.1575,0.9796,-0.0628
2.9401,0.4339,0.0000,-0.1575,0.9730,-0.3066
2.9614,0.4550,0.0000,-0.1575,0.9944,1.0072
2.9829,0.4759,0.0000,-0.1575,0.9683,-1.2137
3.0043,0.4970,0.0000,-0.1575,0.9901,1.0228
3.0256,0.5180,0.0000,-0.1575,0.9847,-0.2543
3.0473,0.5390,0.0000,-0.1575,0.9688,-0.7321
3.0685,0.5603,0.0000,-0.1575,1.0004,1.4877
3.0900,0.5813,0.0000,-0.1575,0.9744,-1.2069
3.1117,0.6024,0.0000,-0.1575,0.9781,0.1674
3.1326,0.6235,0.0000,-0.1575,1.0069,1.3766
3.1540,0.6443,0.0000,-0.1575,0.9733,-1.5733
3.1752,0.6653,0.0000,-0.1575,0.9876,0.6731
3.1964,0.6861,0.0000,-0.1575,0.9851,-0.1182
3.2180,0.7069,0.0000,-0.1575,0.9631,-1.0169
3.2393,0.7281,0.0000,-0.1575,0.9936,1.4263
3.2608,0.7491,0.0000,-0.1575,0.9726,-0.9738
3.2821,0.7703,0.0000,-0.1575,1.0005,1.3151
3.3036,0.7912,0.0000,-0.1575,0.9700,-1.4139
3.3251,0.8122,0.0000,-0.1575,0.9800,0.4633
3.3463,0.8334,0.0000,-0.1575,1.0002,0.9525
3.3679,0.8543,0.0000,-0.1575,0.9661,-1.5764
3.3895,0.8755,0.0000,-0.1575,0.9795,0.6180
3.4107,0.8968,0.0000,-0.1575,1.0061,1.2580
3.4325,0.9177,0.0000,-0.1575,0.9596,-2.1360
3.4538,0.9390,0.0000,-0.1575,0.9990,1.8499
3.4751,0.9600,0.0000,-0.1575,0.9848,-0.6677
3.4964,0.9810,0.0000,-0.1575,0.9849,0.0044
3.5181,1.0019,0.0000,-0.1575,0.9659,-0.8756
3.5398,1.0231,0.0000,-0.1575,0.9757,0.4497
3.5615,1.0445,0.0000,-0.1575,0.9833,0.3478
3.5827,1.0661,0.0000,-0.1575,1.0214,1.7981
3.6039,1.0868,0.0000,-0.1575,0.9781,-2.0402
3.6254,1.1076,0.0000,-0.1575,0.9662,-0.5559
3.6467,1.1287,0.0000,-0.1575,0.9928,1.2521
3.6680,1.1497,0.0000,-0.1575,0.9844,-0.3946
3.6896,1.1706,0.0000,-0.1575,0.9659,-0.8554
3.7108,1.1918,0.0000,-0.1575,1.0011,1.6616
