time_s,cx_px,cy_px,tx_mm,ty_mm,tz_mm
1.6705,213.75,161.50,0.0000,0.0000,29.7793
1.7417,213.50,161.50,-0.2519,-0.0000,30.0167
1.7661,213.75,161.50,0.0000,-0.0000,29.7793
1.7985,213.50,161.50,-0.2519,-0.0000,30.0167
1.8306,213.75,161.75,0.0000,-0.2519,30.0248
1.8620,213.50,161.75,-0.2519,-0.2519,30.2624
1.8943,213.25,161.75,-0.5037,-0.2519,30.0246
1.9423,213.75,162.50,0.0000,-1.0074,29.7793
1.9743,213.75,162.75,0.0000,-1.2593,30.0248
2.0063,213.50,163.25,-0.2519,-1.7630,29.7626
2.0383,213.75,163.50,0.0000,-2.0148,29.7793
2.0703,214.00,164.00,0.2519,-2.5185,30.0166
2.1023,213.75,164.50,0.0000,-3.0222,29.7793
2.1341,213.75,164.75,0.0000,-3.2741,30.0248
2.1662,213.75,164.75,0.0000,-3.2741,30.0085
2.1984,214.00,165.50,0.2519,-4.0296,29.5502
2.2304,213.75,165.50,0.0000,-4.0296,29.7793
2.2624,213.75,165.50,0.0000,-4.0296,29.7793
2.2946,213.75,165.75,0.0000,-4.2815,30.0248
2.3423,213.75,165.75,0.0000,-4.2815,30.0248
2.3744,213.75,165.75,0.0000,-4.2815,30.0248
2.4066,213.75,165.75,0.0000,-4.2815,30.0248
2.4384,214.25,165.50,0.5037,-4.0296,30.2790
2.4704,214.50,165.50,0.7556,-4.0296,30.0167
2.5025,215.50,165.50,1.7630,-4.0296,30.0167
2.5343,216.25,165.75,2.5185,-4.2815,30.0417
2.5663,217.25,165.50,3.5259,-4.0296,30.2790
2.5981,218.00,165.50,4.2815,-4.0296,30.0416
2.6301,219.00,165.25,5.2889,-3.7778,29.8047
2.6624,219.75,165.50,6.0445,-4.0296,29.7793
2.6944,220.75,165.50,7.0519,-4.0296,29.7793
2.7423,221.50,165.50,7.8074,-4.0296,30.0167
2.7743,222.50,165.50,8.8149,-4.0296,30.0167
2.8065,223.50,165.50,9.8223,-4.0296,30.0167
2.8384,224.00,165.50,10.3260,-4.0296,30.0250
2.8703,224.75,165.50,11.0815,-4.0296,29.7793
2.9024,225.75,165.50,12.0889,-4.0296,29.7793
2.9344,226.75,165.50,13.0964,-4.0296,29.7793
2.9664,227.50,165.25,13.8519,-3.7778,29.7626
2.9983,228.50,165.25,14.8593,-3.7778,29.7626
3.0303,229.50,164.75,15.8667,-3.2741,29.7626
3.0625,230.25,165.00,16.6223,-3.5259,29.7797
3.0943,231.00,165.25,17.3778,-3.7778,29.7713
3.1423,231.75,165.00,18.1334,-3.5259,29.2542
3.1744,232.50,165.00,18.8890,-3.5259,30.0083
3.2063,233.25,164.75,19.6445,-3.2741,30.0246
3.2388,234.25,164.75,20.6519,-3.2741,30.0246
3.2703,235.25,164.50,21.6593,-3.0222,29.7793
3.3021,236.00,164.75,22.4149,-3.2741,29.8047
3.3343,236.75,165.00,23.1705,-3.5259,29.7879
3.3664,237.75,165.00,24.1779,-3.5259,29.7879
3.3984,238.75,164.75,25.1853,-3.2741,30.0248
3.4305,239.50,164.50,25.9408,-3.0222,30.0167
3.4623,240.50,164.50,26.9483,-3.0222,30.0167
3.4942,241.50,164.50,27.9557,-3.0222,30.0167
3.5425,242.00,164.75,28.4594,-3.2741,29.8047
3.5744,242.75,165.00,29.2149,-3.5259,29.7879
3.6065,243.75,164.50,30.2223,-3.0222,29.7793
3.6383,244.75,164.50,31.2298,-3.0222,29.7793
3.6704,245.50,164.50,31.9853,-3.0222,30.0167
3.7023,246.50,164.50,32.9927,-3.0222,30.0167
3.7504,247.50,164.50,34.0001,-3.0222,30.0167
3.7821,248.50,164.50,35.0076,-3.0222,30.0167
3.8304,249.75,164.50,36.2668,-3.0222,29.7793
3.8787,250.75,164.50,37.2742,-3.0222,29.7793
3.9103,251.75,164.50,38.2816,-3.0222,29.7793
3.9585,252.75,164.50,39.2891,-3.0222,29.7793
3.9904,254.00,164.50,40.5483,-3.0222,30.0250
4.0383,255.00,164.50,41.5557,-3.0222,30.0250
4.0863,256.25,164.00,42.8150,-2.5185,29.7542
4.1185,257.25,164.25,43.8224,-2.7704,30.0083
4.1663,258.25,164.00,44.8298,-2.5185,29.7542
4.1984,259.75,164.00,46.3409,-2.5185,29.7876
4.2464,260.50,164.00,47.0965,-2.5185,30.0083
