time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
0.0232,0.0000,0.0000,0.0000,0.0056,0.7062
0.0447,0.0000,0.0000,-0.0001,0.0056,0.7062
0.0661,0.0000,0.0000,-0.0006,0.0207,0.7062
0.0870,0.0000,0.0000,-0.0015,0.0464,1.2275
0.1082,0.0000,0.0000,-0.0031,0.0747,1.3364
0.1294,0.0000,0.0000,-0.0054,0.1057,1.4591
0.1506,0.0000,0.0000,-0.0084,0.1421,1.7191
0.1718,0.0000,0.0000,-0.0122,0.1800,1.7872
0.1932,0.0000,0.0000,-0.0168,0.2161,1.6884
0.2144,0.0000,0.0000,-0.0223,0.2591,2.0283
0.2358,0.0000,0.0000,-0.0287,0.2973,1.7851
0.2572,0.0000,0.0000,-0.0359,0.3371,1.8635
0.2785,0.0000,0.0000,-0.0440,0.3811,2.0644
0.2999,0.0000,0.0000,-0.0530,0.4206,1.8451
0.3209,0.0000,0.0000,-0.0628,0.4657,2.1485
0.3420,0.0000,0.0000,-0.0728,0.4772,0.5449
0.3633,0.0000,0.0000,-0.0828,0.4696,-0.3562
0.3844,0.0000,0.0000,-0.0926,0.4609,-0.4132
0.4057,0.0000,0.0000,-0.1019,0.4369,-1.1246
0.4271,0.0000,0.0000,-0.1106,0.4054,-1.4750
0.4482,0.0000,0.0000,-0.1186,0.3811,-1.1540
0.4699,0.0000,0.0000,-0.1258,0.3353,-2.1135
0.4913,0.0000,0.0000,-0.1323,0.3025,-1.5269
0.5128,0.0000,0.0000,-0.1380,0.2646,-1.7619
0.5344,0.0000,0.0000,-0.1429,0.2247,-1.8465
0.5553,0.0000,0.0000,-0.1469,0.1914,-1.5972
0.5765,0.0000,0.0000,-0.1500,0.1462,-2.1328
0.5979,0.0000,0.0000,-0.1522,0.1054,-1.9068
0.6190,0.0000,0.0000,-0.1538,0.0747,-1.4478
0.6402,0.0000,0.0000,-0.1549,0.0523,-1.0617
0.6628,0.0000,0.0000,-0.1557,0.0343,-0.7965
0.6839,0.0004,0.0000,-0.1562,0.0333,-0.0445
0.7049,0.0027,0.0000,-0.1566,0.1070,3.5202
0.7262,0.0076,0.0000,-0.1569,0.2328,5.8907
