time_s,x_mm,y_mm,z_mm,velocity_mms,acceleration_mms2
11.8051,0.0000,0.0000,0.0000,0.0014,0.5765
11.8266,0.0000,0.0000,-0.0000,0.0014,0.5765
11.8479,0.0000,0.0000,-0.0003,0.0137,0.5765
11.8699,0.0000,0.0000,-0.0011,0.0351,0.9712
11.8918,0.0000,0.0000,-0.0025,0.0633,1.2942
11.9135,0.0000,0.0000,-0.0046,0.0955,1.4784
11.9354,0.0000,0.0000,-0.0074,0.1298,1.5692
11.9572,0.0000,0.0000,-0.0111,0.1675,1.7281
11.9789,0.0000,0.0000,-0.0156,0.2078,1.8521
12.0002,0.0000,0.0000,-0.0210,0.2551,2.2295
12.0215,0.0000,0.0000,-0.0272,0.2916,1.7156
12.0425,0.0000,0.0000,-0.0343,0.3376,2.1931
12.0635,0.0000,0.0000,-0.0422,0.3744,1.7405
12.0847,0.0000,0.0000,-0.0509,0.4122,1.7840
12.1064,0.0000,0.0000,-0.0605,0.4453,1.5332
12.1279,0.0000,0.0000,-0.0711,0.4912,2.1301
12.1499,0.0000,0.0000,-0.0826,0.5241,1.4956
12.1713,0.0000,0.0000,-0.0951,0.5800,2.6064
12.1932,0.0000,0.0000,-0.1080,0.5928,0.5857
12.2154,0.0000,0.0000,-0.1215,0.6073,0.6531
12.2368,0.0000,0.0000,-0.1354,0.6466,1.8348
12.2586,0.0000,0.0000,-0.1494,0.6438,-0.1272
12.2802,0.0000,0.0000,-0.1635,0.6520,0.3771
12.3018,0.0000,0.0000,-0.1777,0.6609,0.4122
12.3240,0.0000,0.0000,-0.1920,0.6404,-0.9198
12.3454,0.0000,0.0000,-0.2064,0.6755,1.6386
12.3671,0.0000,0.0000,-0.2208,0.6620,-0.6221
12.3892,0.0000,0.0000,-0.2352,0.6509,-0.4977
12.4104,0.0000,0.0000,-0.2497,0.6832,1.5186
12.4319,0.0000,0.0000,-0.2641,0.6700,-0.6110
12.4536,0.0000,0.0000,-0.2784,0.6635,-0.3026
12.4758,0.0000,0.0000,-0.2928,0.6467,-0.7527
12.4970,0.0000,0.0000,-0.3073,0.6835,1.7328
12.5185,0.0000,0.0000,-0.3218,0.6708,-0.5917
12.5400,0.0000,0.0000,-0.3361,0.6703,-0.0254
12.5614,0.0000,0.0000,-0.3505,0.6703,0.0034
12.5827,0.0000,0.0000,-0.3648,0.6704,0.0008
12.6047,0.0000,0.0000,-0.3791,0.6492,-0.9604
12.6263,0.0000,0.0000,-0.3935,0.6702,0.9751
12.6483,0.0000,0.0000,-0.4079,0.6537,-0.7504
12.6701,0.0000,0.0000,-0.4223,0.6626,0.4057
12.6916,0.0000,0.0000,-0.4368,0.6737,0.5144
12.7133,0.0000,0.0000,-0.4512,0.6632,-0.4829
12.7345,0.0000,0.0000,-0.4657,0.6830,0.9404
12.7560,0.0000,0.0000,-0.4800,0.6662,-0.7830
12.7777,0.0000,0.0000,-0.4944,0.6612,-0.2321
12.7999,0.0000,0.0000,-0.5087,0.6467,-0.6510
12.8212,0.0000,0.0000,-0.5233,0.6825,1.6869
12.8426,0.0000,0.0000,-0.5376,0.6708,-0.5470
12.8638,0.0000,0.0000,-0.5520,0.6782,0.3508
12.8853,0.0000,0.0000,-0.5663,0.6633,-0.6914
12.9069,0.0000,0.0000,-0.5806,0.6636,0.0112
12.9284,0.0000,0.0000,-0.5949,0.6657,0.0961
12.9499,0.0000,0.0000,-0.6092,0.6677,0.0955
12.9715,0.0000,0.0000,-0.6236,0.6626,-0.2371
12.9933,0.0000,0.0000,-0.6379,0.6574,-0.2365
13.0151,0.0000,0.0000,-0.6523,0.6618,0.2029
13.0369,0.0000,0.0000,-0.6668,0.6625,0.0323
13.0585,0.0000,0.0000,-0.6812,0.6690,0.2997
13.0798,0.0000,0.0000,-0.6956,0.6749,0.2766
13.1016,0.0000,0.0000,-0.7100,0.6627,-0.5630
13.1235,0.0000,0.0000,-0.7244,0.6549,-0.3548
13.1452,0.0000,0.0000,-0.7389,0.6695,0.6769
13.1674,0.0000,0.0000,-0.7534,0.6542,-0.6926
13.1891,0.0000,0.0000,-0.7679,0.6677,0.6212
13.2104,0.0000,0.0000,-0.7824,0.6801,0.5850
13.2320,0.0000,0.0000,-0.7969,0.6688,-0.5271
13.2535,0.0000,0.0000,-0.8113,0.6710,0.1054
13.2752,0.0000,0.0000,-0.8257,0.6605,-0.4836
13.2975,0.0000,0.0000,-0.8401,0.6478,-0.5700
13.3192,0.0000,0.0000,-0.8546,0.6690,0.9715
13.3404,0.0000,0.0000,-0.8691,0.6856,0.7870
13.3619,0.0000,0.0000,-0.8835,0.6688,-0.7838
13.3834,0.0000,0.0000,-0.8979,0.6694,0.0296
13.4050,0.0000,0.0000,-0.9123,0.6661,-0.1517
13.4261,0.0000,0.0000,-0.9266,0.6808,0.6923
13.4478,0.0000,0.0000,-0.9409,0.6556,-1.1560
13.4691,0.0000,0.0000,-0.9552,0.6740,0.8648
13.4903,0.0000,0.0000,-0.9695,0.6733,-0.0312
13.5115,0.0000,0.0000,-0.9837,0.6705,-0.1346
13.5331,0.0000,0.0000,-0.9979,0.6582,-0.5706
13.5545,0.0000,0.0000,-1.0122,0.6671,0.4199
13.5765,0.0000,0.0000,-1.0265,0.6485,-0.8489
13.5986,0.0000,0.0000,-1.0408,0.6489,0.0198
13.6200,0.0000,0.0000,-1.0553,0.6776,1.3406
13.6412,0.0000,0.0000,-1.0697,0.6804,0.1330
13.6624,0.0000,0.0000,-1.0841,0.6753,-0.2427
13.6845,0.0000,0.0000,-1.0983,0.6456,-1.3445
13.7059,0.0000,0.0000,-1.1127,0.6709,1.1829
13.7273,0.0000,0.0000,-1.1271,0.6716,0.0338
13.7487,0.0000,0.0000,-1.1414,0.6696,-0.0975
13.7708,0.0000,0.0000,-1.1557,0.6492,-0.9241
13.7923,0.0000,0.0000,-1.1701,0.6697,0.9519
13.8139,0.0000,0.0000,-1.1845,0.6674,-0.1086
13.8352,0.0000,0.0000,-1.1989,0.6747,0.3421
13.8563,0.0000,0.0000,-1.2133,0.6777,0.1435
13.8779,0.0000,0.0000,-1.2275,0.6612,-0.7634
13.8993,0.0000,0.0000,-1.2418,0.6680,0.3187
13.9205,0.0000,0.0000,-1.2561,0.6723,0.2001
13.9419,0.0000,0.0000,-1.2703,0.6651,-0.3371
13.9636,0.0000,0.0000,-1.2846,0.6565,-0.3936
13.9848,0.0000,0.0000,-1.2989,0.6753,0.8870
14.0062,0.0000,0.0000,-1.3131,0.6676,-0.3638
14.0279,0.0000,0.0000,-1.3274,0.6573,-0.4744
14.0496,0.0000,0.0000,-1.3417,0.6558,-0.0679
14.0709,0.0000,0.0000,-1.3560,0.6750,0.9020
14.0923,0.0000,0.0000,-1.3703,0.6701,-0.2333
14.1136,0.0000,0.0000,-1.3846,0.6681,-0.0937
14.1351,0.0000,0.0000,-1.3989,0.6659,-0.1031
14.1562,0.0000,0.0000,-1.4132,0.6772,0.5382
14.1776,0.0000,0.0000,-1.4274,0.6655,-0.5479
14.1991,0.0000,0.0000,-1.4416,0.6616,-0.1806
14.2203,0.0000,0.0000,-1.4559,0.6696,0.3742
14.2418,0.0000,0.0000,-1.4701,0.6623,-0.3382
14.2634,0.0000,0.0000,-1.4843,0.6591,-0.1473
14.2849,0.0000,0.0000,-1.4986,0.6640,0.2284
14.3061,0.0000,0.0000,-1.5129,0.6725,0.4000
14.3274,0.0000,0.0000,-1.5272,0.6710,-0.0741
14.3491,0.0000,0.0000,-1.5414,0.6548,-0.7422
14.3703,0.0000,0.0000,-1.5557,0.6748,0.9457
14.3915,0.0000,0.0000,-1.5699,0.6704,-0.2112
14.4133,0.0000,0.0000,-1.5841,0.6546,-0.7276
14.4350,0.0000,0.0000,-1.5984,0.6589,0.2015
14.4565,0.0000,0.0000,-1.6128,0.6651,0.2860
14.4782,0.0000,0.0000,-1.6271,0.6606,-0.2075
14.4996,0.0000,0.0000,-1.6415,0.6717,0.5215
14.5210,0.0000,0.0000,-1.6558,0.6717,-0.0020
14.5426,0.0000,0.0000,-1.6701,0.6612,-0.4870
14.5640,0.0000,0.0000,-1.6845,0.6701,0.4187
14.5854,0.0000,0.0000,-1.6988,0.6710,0.0392
14.6074,0.0000,0.0000,-1.7130,0.6473,-1.0761
14.6289,0.0000,0.0000,-1.7275,0.6703,1.0737
14.6504,0.0000,0.0000,-1.7418,0.6669,-0.1611
14.6716,0.0000,0.0000,-1.7562,0.6784,0.5438
14.6932,0.0000,0.0000,-1.7705,0.6604,-0.8301
14.7154,0.0000,0.0000,-1.7848,0.6470,-0.6083
14.7367,0.0000,0.0000,-1.7992,0.6773,1.4185
14.7585,0.0000,0.0000,-1.8137,0.6623,-0.6885
14.7800,0.0000,0.0000,-1.8281,0.6685,0.2899
14.8017,0.0000,0.0000,-1.8425,0.6624,-0.2826
14.8234,0.0000,0.0000,-1.8569,0.6662,0.1774
14.8449,0.0000,0.0000,-1.8713,0.6709,0.2146
14.8668,0.0000,0.0000,-1.8857,0.6580,-0.5862
14.8887,0.0000,0.0000,-1.9002,0.6599,0.0838
14.9102,0.0000,0.0000,-1.9147,0.6743,0.6709
14.9318,0.0000,0.0000,-1.9291,0.6687,-0.2585
14.9536,0.0000,0.0000,-1.9435,0.6625,-0.2831
14.9752,0.0000,0.0000,-1.9580,0.6673,0.2187
14.9967,0.0000,0.0000,-1.9724,0.6700,0.1276
15.0181,0.0000,0.0000,-1.9868,0.6733,0.1517
15.0399,0.0000,0.0000,-2.0012,0.6598,-0.6192
15.0629,0.0000,0.0000,-2.0155,0.6241,-1.5469
15.0842,0.0000,0.0000,-2.0302,0.6907,3.1322
15.1060,0.0000,0.0000,-2.0448,0.6682,-1.0349
15.1279,0.0000,0.0000,-2.0593,0.6615,-0.3072
15.1493,0.0000,0.0000,-2.0738,0.6796,0.8498
15.1709,0.0000,0.0000,-2.0883,0.6700,-0.4477
15.1923,0.0000,0.0000,-2.1028,0.6762,0.2933
15.2140,0.0000,0.0000,-2.1172,0.6625,-0.6315
15.2355,0.0000,0.0000,-2.1316,0.6718,0.4309
15.2577,0.0000,0.0000,-2.1459,0.6460,-1.1597
15.2796,0.0000,0.0000,-2.1604,0.6629,0.7717
15.3010,0.0000,0.0000,-2.1749,0.6789,0.7488
15.3229,0.0000,0.0000,-2.1894,0.6587,-0.9219
15.3445,0.0000,0.0000,-2.2039,0.6710,0.5681
15.3664,0.0000,0.0000,-2.2183,0.6607,-0.4684
15.3879,0.0000,0.0000,-2.2328,0.6720,0.5247
15.4098,0.0000,0.0000,-2.2473,0.6619,-0.4623
15.4312,0.0000,0.0000,-2.2617,0.6757,0.6422
15.4527,0.0000,0.0000,-2.2762,0.6687,-0.3241
15.4740,0.0000,0.0000,-2.2905,0.6759,0.3373
15.4957,0.0000,0.0000,-2.3049,0.6604,-0.7110
15.5170,0.0000,0.0000,-2.3193,0.6752,0.6943
15.5386,0.0000,0.0000,-2.3336,0.6652,-0.4662
15.5600,0.0000,0.0000,-2.3479,0.6661,0.0436
15.5815,0.0000,0.0000,-2.3622,0.6660,-0.0021
15.6031,0.0000,0.0000,-2.3765,0.6640,-0.0960
15.6246,0.0000,0.0000,-2.3909,0.6687,0.2220
15.6460,0.0000,0.0000,-2.4052,0.6687,-0.0034
15.6679,0.0000,0.0000,-2.4195,0.6530,-0.7144
15.6893,0.0000,0.0000,-2.4339,0.6720,0.8874
15.7108,0.0000,0.0000,-2.4483,0.6671,-0.2279
15.7323,0.0000,0.0000,-2.4626,0.6694,0.1051
15.7539,0.0000,0.0000,-2.4770,0.6643,-0.2352
15.7749,0.0000,0.0000,-2.4913,0.6826,0.8720
15.7966,0.0000,0.0000,-2.5056,0.6566,-1.1980
15.8179,0.0000,0.0000,-2.5199,0.6718,0.7131
15.8395,0.0000,0.0000,-2.5341,0.6606,-0.5225
15.8611,0.0000,0.0000,-2.5484,0.6593,-0.0589
15.8825,0.0000,0.0000,-2.5627,0.6697,0.4882
15.9040,0.0000,0.0000,-2.5771,0.6681,-0.0785
15.9260,0.0000,0.0000,-2.5914,0.6490,-0.8639
15.9480,0.0000,0.0000,-2.6058,0.6559,0.3122
15.9696,0.0000,0.0000,-2.6203,0.6689,0.6005
15.9911,0.0000,0.0000,-2.6347,0.6749,0.2785
16.0125,0.0000,0.0000,-2.6491,0.6732,-0.0784
16.0337,0.0000,0.0000,-2.6635,0.6772,0.1863
16.0551,0.0000,0.0000,-2.6778,0.6673,-0.4575
16.0764,0.0000,0.0000,-2.6921,0.6722,0.2301
